1,тесноты,физическое свойство
2,досады,чувство
3,барок,транспорт
4,радости,чувство
5,неимению,существительные с отрицательной полярностью
6,неимением,существительные с отрицательной полярностью
7,дождём,явления природы
8,скоростью,физическое свойство
9,картами,артефакт
10,колики,физическое состояние
11,столика,артефакт
12,фантазии,ментальная сфера
13,хлопотанья,действие
14,интересов,ментальная сфера
15,тяжести,физическое свойство
16,возраста,физическое свойство
17,причины,абстрактное
18,поклонение,отношение
19,льдов,вещество
20,связь,взаимоотношение
21,нужду,посессивная сфера
22,манкировку,?
23,дружбу,взаимоотношение
24,характер,психическая сфера
25,извиненье,поведение человека
26,усталости,состояние
27,поучение,ментальная сфера
28,мочи с крику,звук
29,похвал,отношение
30,рассмотрение,ментальная сфера
31,устрашению,эмоция
32,исполнению,начало существования
33,удовлетворение,эмоция