1,остановиться,движение
2,покраснеть,мена состояния
3,проехать,движение
4,знать,ментальная сфера
5,простудиться,мены состояния
6,поехать,движения
7,остаться,местонахождение
8,шить,создание физического объекта
9,успевать,?
10,поссориться,эмоция
11,разгорячиться,эмоция
12,потерять,смена посессора
13,забывать,ментальная сфера
14,быть загнанным,каузатив
15,прибавить,?
16,нарушить,?
17,продать,смена посессор
18,остерегаться,?
19,явить,мена состояния
20,проникать,движение
21,заболеть,мена состояния
22,бояться,эмоция
23,рассказать,речь
24,погрузиться,движение
25,говаривать,речь
26,выбиться,идиома
27,вскружиться,мена состояния
28,предлагать,смена посессора
29,казнить,уничтожение
30,употреблять,?
31,погибнуть,прекращение существования